anonuser,mealplanid,Item.Name,Item.Cost,Vendor,days,hrs,mins,country,gender,major,yeargroup,food.type
1133,MCF Account,CHOCOLATE SPREAD SANDWICH,3.5,Akorno Catering LTD,Friday,18,39,Kenya,Female,Unkn,2018,Non-Beverage
1064,20 GHC Limit Account,BB COCKTAIL,3,Mannies Catering LTD,Friday,18,36,Ghana,Female,CS,2018,Beverage
1031,MCF Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,18,36,Ghana,Female,BA,2018,Non-Beverage
1073,MCF Account,BB COCKTAIL,3,Mannies Catering LTD,Friday,18,36,Kenya,Female,CS,2018,Beverage
1010,MCF Account,Deluxe Boiled Yam,6.9,Akorno Catering LTD,Friday,18,35,Ghana,Male,BA,2018,Non-Beverage
1121,MCF Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,18,34,Kenya,Female,CS,2017,Non-Beverage
1122,15 GHC Limit Account,PACK,0.5,Mannies Catering LTD,Friday,18,32,Ghana,Female,BA,2017,Non-Beverage
1016,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,18,32,Zimbabwe,Female,MIS,2017,Non-Beverage
1140,MCF Account,Classic:FriedRice,5.2,Akorno Catering LTD,Friday,18,30,Kenya,Female,CS,2018,Non-Beverage
1091,MCF Account,TOASTED,0.2,Mannies Catering LTD,Friday,18,30,Kenya,Male,CS,2018,Non-Beverage
1116,MCF Account,Deluxe:Beans Stew(red red),6.9,Akorno Catering LTD,Friday,18,29,Ghana,Male,CS,2018,Non-Beverage
1063,MCF Account,BB COCKTAIL,3,Mannies Catering LTD,Friday,18,26,Ghana,Male,CS,2017,Beverage
1155,MCF Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,18,25,Nigeria,Male,CS,2018,Non-Beverage
1097,MCF Account,PACK,0.5,Mannies Catering LTD,Friday,18,24,Rwanda,Female,Unkn,2018,Non-Beverage
1035,MCF Account,Deluxe:Beans Stew(red red),6.9,Akorno Catering LTD,Friday,18,21,Ghana,Male,BA,2018,Non-Beverage
1160,20 GHC Limit Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,18,19,Ghana,Female,BA,2017,Non-Beverage
1109,MCF Account,H-WAAKYE/OMLET,5,Mannies Catering LTD,Friday,18,16,Ghana,Male,BA,2017,Non-Beverage
1081,20 GHC Limit Account,WATER SMALL,1,Mannies Catering LTD,Friday,18,15,USA,Female,Unkn,2018,Non-Beverage
1134,23 GHC Limit Account,MP FANDANGO,2.75,Akorno Catering LTD,Friday,18,13,Ghana,Male,BA,2018,Beverage
1165,MCF Account,Deluxe:Plain Rice ,6.9,Akorno Catering LTD,Friday,18,13,Ghana,Male,CS,2018,Non-Beverage
1066,MCF Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,17,45,Kenya,Female,Unkn,2018,Non-Beverage
1123,MCF Account,WATER SMALL,1,Mannies Catering LTD,Friday,17,41,Zimbabwe,Female,Unkn,2018,Non-Beverage
1152,MCF Account,WATER SMALL,1,Mannies Catering LTD,Friday,17,38,Zimbabwe,Female,CS,2018,Non-Beverage
1054,MCF Account,WATER SMALL,1,Mannies Catering LTD,Friday,17,38,Zimbabwe,Female,CS,2018,Non-Beverage
1108,23 GHC Limit Account,Fried Plantain,0.5,Akorno Catering LTD,Friday,17,19,Ghana,Male,Unkn,2017,Non-Beverage
1006,17 GHC Limit Account,COKE GLASS,1.8,Mannies Catering LTD,Friday,17,15,Nigeria,Male,CS,2017,Beverage
1119,20 GHC Limit Account,BB COCKTAIL,3,Mannies Catering LTD,Friday,17,11,Ghana,Female,BA,2018,Beverage
1164,20 GHC Limit Account,PACK,0.5,Mannies Catering LTD,Friday,17,9,Ghana,Male,BA,2017,Non-Beverage
1019,20 GHC Limit Account,WATER SMALL,1,Mannies Catering LTD,Friday,17,6,Ghana,Female,CS,2018,Non-Beverage
1002,MCF Account,H-WAAKYE/OMLET,5,Mannies Catering LTD,Friday,17,1,Ghana,Female,BA,2017,Non-Beverage
1147,20 GHC Limit Account,Deluxe:Plain Rice ,6.9,Akorno Catering LTD,Friday,16,55,Ghana,Female,BA,2017,Non-Beverage
1071,MCF Account,MP FANICE,0.99,Akorno Catering LTD,Friday,16,51,Ghana,Female,BA,2017,Beverage
1104,MCF Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,16,43,Ghana,Female,BA,2017,Non-Beverage
1107,15 GHC Limit Account,MP FANICE,0.99,Akorno Catering LTD,Friday,16,40,Ghana,Male,BA,2017,Beverage
1125,15 GHC Limit Account,WATER SMALL,1,Mannies Catering LTD,Friday,16,33,Ghana,Male,CS,2018,Non-Beverage
1102,MCF Account,Fried Plantain,0.5,Akorno Catering LTD,Friday,16,30,Zimbabwe,Male,BA,2018,Non-Beverage
1004,15 GHC Limit Account,MP FANDANGO,2.75,Akorno Catering LTD,Friday,16,18,Nigeria,Male,CS,2017,Beverage
1105,15 GHC Limit Account,WAAHYE & B.EGG,7,Mannies Catering LTD,Friday,16,10,Ghana,Female,BA,2017,Non-Beverage
1103,15 GHC Limit Account,WAAKYE ND OMELET,7,Mannies Catering LTD,Friday,16,8,Ghana,Female,BA,2017,Non-Beverage
1118,MCF Account, MP TAKEOUT PACK,0.55,Akorno Catering LTD,Friday,15,58,Ghana,Male,BA,2018,Non-Beverage
1030,20 GHC Limit Account,H_FRIED RICE/BEEFSAUCE,7,Mannies Catering LTD,Friday,15,57,Ghana,Female,BA,2018,Non-Beverage
1141,MCF Account,WATER SMALL,1,Mannies Catering LTD,Friday,15,54,Kenya,Female,BA,2017,Non-Beverage
1085,15 GHC Limit Account,MP FANDANGO,2.75,Akorno Catering LTD,Friday,15,50,Ghana,Female,BA,2017,Beverage
1032,20 GHC Limit Account,SNAPPLE ,6,Mannies Catering LTD,Friday,15,45,Nigeria,Female,BA,2018,Beverage
1033,MCF Account,Fresh Milk,3.9,Akorno Catering LTD,Friday,15,45,Lesotho,Female,BA,2017,Beverage
1142,MCF Account,Classic:FriedRice,5.2,Akorno Catering LTD,Friday,15,34,Ghana,Female,BA,2017,Non-Beverage
1052,15 GHC Limit Account,WATER SMALL,1,Mannies Catering LTD,Friday,15,10,Ghana,Female,BA,2018,Non-Beverage
1077,15 GHC Limit Account,PLAIN RICE& BEEF SAUCE,9,Mannies Catering LTD,Friday,15,8,Ghana,Female,CS,2018,Non-Beverage
1156,15 GHC Limit Account,COKE 0.5 PET,3,Mannies Catering LTD,Friday,14,58,Ghana,Female,BA,2018,Beverage
1083,15 GHC Limit Account,FRIED RICE & OMELETS,7,Mannies Catering LTD,Friday,14,58,Ghana,Female,BA,2018,Non-Beverage
1038,15 GHC Limit Account,FRIED RICE & CHK SAUCE,8,Mannies Catering LTD,Friday,14,56,Ghana,Female,MIS,2018,Non-Beverage
1099,15 GHC Limit Account,H_FRIED RICE/BEEFSAUCE,7,Mannies Catering LTD,Friday,14,54,Ghana,Female,CS,2018,Non-Beverage
1080,15 GHC Limit Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,14,0,Switzerland,Male,BA,2017,Non-Beverage
1021,15 GHC Limit Account,BB COCKTAIL,3,Mannies Catering LTD,Friday,13,49,Ghana,Female,Unkn,2018,Beverage
1044,20 GHC Limit Account,PACK,0.5,Mannies Catering LTD,Friday,13,48,Ghana,Female,BA,2018,Non-Beverage
1127,23 GHC Limit Account,  Deluxe Spaghetti Bolonaise,6.9,Akorno Catering LTD,Friday,13,31,Nigeria,Female,BA,2017,Non-Beverage
1017,15 GHC Limit Account, MP TAKEOUT PACK,0.55,Akorno Catering LTD,Friday,13,12,Ghana,Female,BA,2017,Non-Beverage
1136,23 GHC Limit Account,MP FANDANGO,2.75,Akorno Catering LTD,Friday,13,4,Ghana,Male,Unkn,2018,Beverage
1057,15 GHC Limit Account,Deluxe:Jollof Rice,6.9,Akorno Catering LTD,Friday,12,59,Ghana,Male,CS,2017,Non-Beverage
1088,20 GHC Limit Account,H-WAAKYE/OMLET,5,Mannies Catering LTD,Friday,12,15,Ghana,Male,BA,2018,Non-Beverage
1040,15 GHC Limit Account,FRIED RICE & BEEF SAUCE,9,Mannies Catering LTD,Friday,11,49,Nigeria,Male,BA,2018,Non-Beverage
1068,15 GHC Limit Account,PLAIN RICE & CHICKEN,7,Mannies Catering LTD,Friday,11,45,Nigeria,Male,Unkn,2018,Non-Beverage
1048,23 GHC Limit Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,11,41,Ghana,Male,Unkn,2018,Non-Beverage
1098,15 GHC Limit Account,SNAPPLE ,6,Mannies Catering LTD,Friday,11,39,Ghana,Male,BA,2018,Beverage
1148,15 GHC Limit Account,JOLLOF & CHICKEN,7,Mannies Catering LTD,Friday,11,36,Ghana,Female,Unkn,2018,Non-Beverage
1161,15 GHC Limit Account,MANNIES SP F,9,Mannies Catering LTD,Friday,11,32,Ghana,Female,BA,2018,Non-Beverage
1003,23 GHC Limit Account,PLAIN  FRIED EGG,6.5,Mannies Catering LTD,Friday,11,30,Nigeria,Female,BA,2018,Non-Beverage
1092,15 GHC Limit Account,Deluxe: Waakye& Chicken,6.9,Akorno Catering LTD,Friday,11,30,Ghana,Female,BA,2018,Non-Beverage
1013,MCF Account,KALYPPO,1.5,Mannies Catering LTD,Friday,11,23,Ghana,Male,BA,2017,Beverage
1138,20 GHC Limit Account,PLAIN RICE & CHICKEN,7,Mannies Catering LTD,Friday,11,18,Ghana,Male,MIS,2018,Non-Beverage
1137,15 GHC Limit Account,Americana  Waakye,6.9,Akorno Catering LTD,Friday,11,17,Ghana,Female,MIS,2018,Non-Beverage
1094,15 GHC Limit Account,FRIED RICE & CHK SAUCE,8,Mannies Catering LTD,Friday,11,17,Ghana,Male,BA,2018,Non-Beverage
1024,23 GHC Limit Account,Minerals,2,Akorno Catering LTD,Friday,10,50,Ghana,Male,BA,2017,Beverage
1143,15 GHC Limit Account,Pancake,0.5,Akorno Catering LTD,Friday,10,28,Ghana,Male,CS,2017,Non-Beverage
1159,MCF Account,Classic:Waakye&Chicken,5.2,Akorno Catering LTD,Friday,9,48,Ghana,Male,BA,2017,Non-Beverage
1096,MCF Account,H-WAAKYE/OMLET,5,Mannies Catering LTD,Thursday,18,54,Kenya,Female,Unkn,2018,Non-Beverage
1126,17 GHC Limit Account,MP FANDANGO,2.75,Akorno Catering LTD,Wednesday,13,16,Ghana,Male,BA,2017,Beverage
